Date,Description,Debit (£),Credit (£),Balance (£)
01 Jul 2025,Opening balance,,,1245.67
01 Jul 2025,Direct Debit - Netflix,13.99,,1231.68
02 Jul 2025,Starbucks - Coffee,4.2,,1227.48
03 Jul 2025,Tesco Supermarket,48.75,,1178.73
04 Jul 2025,Transport - Tube Top Up,30.0,,1148.73
06 Jul 2025,Amazon Marketplace,62.34,,1086.39
07 Jul 2025,Local Gym - Muay Thai Class,15.0,,1071.39
08 Jul 2025,Electricity - British Gas (DD),56.12,,1015.27
09 Jul 2025,Restaurant - The Red Lion,42.5,,972.77
10 Jul 2025,Refund - Amazon,,12.99,985.76
11 Jul 2025,Salary - ABC Ltd (PAY IN),,1800.0,2785.76
12 Jul 2025,Rent - Transfer to Landlord,850.0,,1935.76
14 Jul 2025,Spotify,9.99,,1925.77
15 Jul 2025,Water - Thames Water (DD),28.45,,1897.32
16 Jul 2025,Grocery - Lidl,34.1,,1863.22
17 Jul 2025,Cash Withdrawal ATM,60.0,,1803.22
18 Jul 2025,Mobile - Vodafone (DD),21.0,,1782.22
19 Jul 2025,Cinema - Odeon,18.2,,1764.02
21 Jul 2025,Transfer to savings,200.0,,1564.02
22 Jul 2025,John Doe - Transfer Received,,50.0,1614.02
23 Jul 2025,Uber,13.4,,1600.62
24 Jul 2025,Clothing - H&M,45.0,,1555.62
25 Jul 2025,Payee: Freelance income,,250.0,1805.62
27 Jul 2025,Gym - Annual membership (prorated),120.0,,1685.62
29 Jul 2025,Coffee Shop - Pret,3.85,,1681.77
31 Jul 2025,Interest Credit,,0.12,1681.89
